file_id,path,classes_tham_khao
as_strong_0yW5XUGJsOU_8000,data/raw/audioset_strong/audio/as_strong_0yW5XUGJsOU_8000.wav,alarm_bell;door_slam;speech_normal;vehicle_crash
as_strong_0vn3bMQDu7s_430000,data/raw/audioset_strong/audio/as_strong_0vn3bMQDu7s_430000.wav,explosion;gunshot
as_strong_18212B4yfLg_80000,data/raw/audioset_strong/audio/as_strong_18212B4yfLg_80000.wav,fireworks;speech_normal
as_strong_0G50t4FlbIA_60000,data/raw/audioset_strong/audio/as_strong_0G50t4FlbIA_60000.wav,scream;speech_normal
as_strong_0ojTL4MmXjQ_1000,data/raw/audioset_strong/audio/as_strong_0ojTL4MmXjQ_1000.wav,siren;speech_normal
as_strong_-xYsfYZOI-Y_30000,data/raw/audioset_strong/audio/as_strong_-xYsfYZOI-Y_30000.wav,vehicle_crash
as_strong_0Gl7_MoPvJM_30000,data/raw/audioset_strong/audio/as_strong_0Gl7_MoPvJM_30000.wav,door_slam
as_strong_08Cp9WXxzMw_30000,data/raw/audioset_strong/audio/as_strong_08Cp9WXxzMw_30000.wav,explosion
as_strong_0a1RwFHboCY_10000,data/raw/audioset_strong/audio/as_strong_0a1RwFHboCY_10000.wav,fireworks;laughter;speech_normal
as_strong_1NZV0KxuZok_30000,data/raw/audioset_strong/audio/as_strong_1NZV0KxuZok_30000.wav,scream;speech_normal
as_strong_0nGslh_qDVs_28000,data/raw/audioset_strong/audio/as_strong_0nGslh_qDVs_28000.wav,siren
as_strong_-Y6IN1f29es_30000,data/raw/audioset_strong/audio/as_strong_-Y6IN1f29es_30000.wav,vehicle_crash
as_strong_0I_Pi3zt4WY_0,data/raw/audioset_strong/audio/as_strong_0I_Pi3zt4WY_0.wav,door_slam
as_strong_14Z5seslDgk_30000,data/raw/audioset_strong/audio/as_strong_14Z5seslDgk_30000.wav,explosion
as_strong_-Q6ZgEgLF8k_250000,data/raw/audioset_strong/audio/as_strong_-Q6ZgEgLF8k_250000.wav,fireworks;speech_normal
as_strong_2Wvyo71tjDM_6000,data/raw/audioset_strong/audio/as_strong_2Wvyo71tjDM_6000.wav,scream
as_strong_09F7JI0QEME_0,data/raw/audioset_strong/audio/as_strong_09F7JI0QEME_0.wav,siren
as_strong_0IhZ8j0U0Nw_30000,data/raw/audioset_strong/audio/as_strong_0IhZ8j0U0Nw_30000.wav,vehicle_crash
as_strong_1Bk_n4Kqokw_30000,data/raw/audioset_strong/audio/as_strong_1Bk_n4Kqokw_30000.wav,door_slam
as_strong_-O9D9xY72ZI_0,data/raw/audioset_strong/audio/as_strong_-O9D9xY72ZI_0.wav,explosion;speech_normal
as_strong_-tlO6oj2ZqI_19000,data/raw/audioset_strong/audio/as_strong_-tlO6oj2ZqI_19000.wav,fireworks
as_strong_0YfABY3VaJ8_30000,data/raw/audioset_strong/audio/as_strong_0YfABY3VaJ8_30000.wav,scream;speech_normal
as_strong_-09rxiqNNEs_30000,data/raw/audioset_strong/audio/as_strong_-09rxiqNNEs_30000.wav,siren
as_strong_0oyu_e-tmBM_30000,data/raw/audioset_strong/audio/as_strong_0oyu_e-tmBM_30000.wav,laughter;running_footsteps;speech_normal;vehicle_crash
as_strong_1CwhQ3icjgs_30000,data/raw/audioset_strong/audio/as_strong_1CwhQ3icjgs_30000.wav,door_slam;running_footsteps
