file_id,area_type,source_group_id,occurrence,so_lat,dai_sec,kieu,giay_lap
bgc_factory_freesound_103199_1,factory,freesound_103199,1,1,10.0,lap_crossfade,8.48
bgc_factory_freesound_103199_7,factory,freesound_103199,7,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_118278_0,factory,freesound_118278,0,14,30.0,lien_tuc,0.0
bgc_factory_freesound_119809_0,factory,freesound_119809,0,7,16.0,lien_tuc,0.0
bgc_factory_freesound_130961_0,factory,freesound_130961,0,1,10.0,lap_crossfade,6.95
bgc_factory_freesound_132016_0,factory,freesound_132016,0,9,20.0,lien_tuc,0.0
bgc_factory_freesound_132021_0,factory,freesound_132021,0,13,28.0,lien_tuc,0.0
bgc_factory_freesound_148463_2,factory,freesound_148463,2,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_148463_3,factory,freesound_148463,3,11,24.0,lien_tuc,0.0
bgc_factory_freesound_156362_0,factory,freesound_156362,0,4,10.0,lien_tuc,0.0
bgc_factory_freesound_156362_1,factory,freesound_156362,1,1,10.0,lap_crossfade,8.01
bgc_factory_freesound_156362_2,factory,freesound_156362,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_156362_3,factory,freesound_156362,3,9,20.0,lien_tuc,0.0
bgc_factory_freesound_156893_0,factory,freesound_156893,0,1,10.0,lap_crossfade,8.745
bgc_factory_freesound_156893_1,factory,freesound_156893,1,1,10.0,lap_crossfade,8.773
bgc_factory_freesound_156893_10,factory,freesound_156893,10,1,10.0,lap_crossfade,9.442
bgc_factory_freesound_156893_11,factory,freesound_156893,11,1,10.0,lap_crossfade,7.183
bgc_factory_freesound_156893_2,factory,freesound_156893,2,1,10.0,lap_crossfade,8.884
bgc_factory_freesound_156893_3,factory,freesound_156893,3,1,10.0,lap_crossfade,8.47
bgc_factory_freesound_156893_4,factory,freesound_156893,4,1,10.0,lap_crossfade,8.94
bgc_factory_freesound_156893_5,factory,freesound_156893,5,1,10.0,lap_crossfade,8.243
bgc_factory_freesound_156893_7,factory,freesound_156893,7,1,10.0,lap_crossfade,7.434
bgc_factory_freesound_156893_8,factory,freesound_156893,8,1,10.0,lap_crossfade,8.94
bgc_factory_freesound_156893_9,factory,freesound_156893,9,1,10.0,lap_crossfade,8.83
bgc_factory_freesound_165775_0,factory,freesound_165775,0,1,10.0,lap_crossfade,9.463
bgc_factory_freesound_165775_1,factory,freesound_165775,1,1,10.0,lap_crossfade,9.61
bgc_factory_freesound_169098_0,factory,freesound_169098,0,10,22.0,lien_tuc,0.0
bgc_factory_freesound_169098_1,factory,freesound_169098,1,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_169098_2,factory,freesound_169098,2,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_169098_3,factory,freesound_169098,3,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_169098_4,factory,freesound_169098,4,12,26.0,lien_tuc,0.0
bgc_factory_freesound_169466_0,factory,freesound_169466,0,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_169466_1,factory,freesound_169466,1,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_169466_2,factory,freesound_169466,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_169466_3,factory,freesound_169466,3,4,10.0,lien_tuc,0.0
bgc_factory_freesound_177537_0,factory,freesound_177537,0,32,66.0,lien_tuc,0.0
bgc_factory_freesound_177537_1,factory,freesound_177537,1,11,24.0,lien_tuc,0.0
bgc_factory_freesound_177537_2,factory,freesound_177537,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_17913_1,factory,freesound_17913,1,1,10.0,lap_crossfade,8.95
bgc_factory_freesound_180937_0,factory,freesound_180937,0,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_180937_1,factory,freesound_180937,1,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_180937_2,factory,freesound_180937,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_180937_3,factory,freesound_180937,3,16,34.0,lien_tuc,0.0
bgc_factory_freesound_180937_4,factory,freesound_180937,4,9,20.0,lien_tuc,0.0
bgc_factory_freesound_185800_1,factory,freesound_185800,1,1,10.0,lap_crossfade,8.693
bgc_factory_freesound_185800_2,factory,freesound_185800,2,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_185801_0,factory,freesound_185801,0,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_187920_2,factory,freesound_187920,2,1,10.0,lap_crossfade,8.564
bgc_factory_freesound_188824_0,factory,freesound_188824,0,1,10.0,lap_crossfade,8.63
bgc_factory_freesound_188824_1,factory,freesound_188824,1,1,10.0,lap_crossfade,8.69
bgc_factory_freesound_188824_10,factory,freesound_188824,10,1,10.0,lap_crossfade,9.064
bgc_factory_freesound_188824_11,factory,freesound_188824,11,1,10.0,lap_crossfade,8.814
bgc_factory_freesound_188824_12,factory,freesound_188824,12,1,10.0,lap_crossfade,6.38
bgc_factory_freesound_188824_2,factory,freesound_188824,2,1,10.0,lap_crossfade,8.94
bgc_factory_freesound_188824_3,factory,freesound_188824,3,1,10.0,lap_crossfade,9.19
bgc_factory_freesound_188824_4,factory,freesound_188824,4,1,10.0,lap_crossfade,8.752
bgc_factory_freesound_188824_5,factory,freesound_188824,5,1,10.0,lap_crossfade,8.63
bgc_factory_freesound_188824_6,factory,freesound_188824,6,1,10.0,lap_crossfade,9.13
bgc_factory_freesound_188824_7,factory,freesound_188824,7,1,10.0,lap_crossfade,7.63
bgc_factory_freesound_188824_8,factory,freesound_188824,8,1,10.0,lap_crossfade,8.502
bgc_factory_freesound_188824_9,factory,freesound_188824,9,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_19007_0,factory,freesound_19007,0,1,10.0,lap_crossfade,5.992
bgc_factory_freesound_203929_1,factory,freesound_203929,1,4,10.0,lien_tuc,0.0
bgc_factory_freesound_203929_10,factory,freesound_203929,10,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_203929_2,factory,freesound_203929,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_203929_3,factory,freesound_203929,3,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_203929_4,factory,freesound_203929,4,3,10.0,lap_crossfade,2.0
bgc_factory_freesound_203929_5,factory,freesound_203929,5,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_203929_6,factory,freesound_203929,6,4,10.0,lien_tuc,0.0
bgc_factory_freesound_203929_7,factory,freesound_203929,7,5,12.0,lien_tuc,0.0
bgc_factory_freesound_203929_8,factory,freesound_203929,8,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_203929_9,factory,freesound_203929,9,4,10.0,lien_tuc,0.0
bgc_factory_freesound_22883_62,factory,freesound_22883,62,1,10.0,lap_crossfade,8.595
bgc_factory_freesound_22883_63,factory,freesound_22883,63,1,10.0,lap_crossfade,7.94
bgc_factory_freesound_34050_0,factory,freesound_34050,0,1,10.0,lap_crossfade,6.502
bgc_factory_freesound_34050_1,factory,freesound_34050,1,1,10.0,lap_crossfade,8.62
bgc_factory_freesound_34050_2,factory,freesound_34050,2,1,10.0,lap_crossfade,8.561
bgc_factory_freesound_34050_3,factory,freesound_34050,3,1,10.0,lap_crossfade,8.11
bgc_factory_freesound_34050_4,factory,freesound_34050,4,1,10.0,lap_crossfade,7.38
bgc_factory_freesound_34050_5,factory,freesound_34050,5,1,10.0,lap_crossfade,7.8
bgc_factory_freesound_34050_6,factory,freesound_34050,6,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_57584_0,factory,freesound_57584,0,9,20.0,lien_tuc,0.0
bgc_factory_freesound_59594_0,factory,freesound_59594,0,5,12.0,lien_tuc,0.0
bgc_factory_freesound_59595_0,factory,freesound_59595,0,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_69598_1,factory,freesound_69598,1,1,10.0,lap_crossfade,6.055
bgc_factory_freesound_69598_2,factory,freesound_69598,2,2,10.0,lap_crossfade,4.0
bgc_factory_freesound_69598_3,factory,freesound_69598,3,1,10.0,lap_crossfade,6.0
bgc_factory_freesound_69598_4,factory,freesound_69598,4,1,10.0,lap_crossfade,8.393
bgc_parking_freesound_103438_0,parking,freesound_103438,0,3,10.0,lap_crossfade,2.0
bgc_parking_freesound_106905_0,parking,freesound_106905,0,3,10.0,lap_crossfade,2.0
bgc_parking_freesound_112075_0,parking,freesound_112075,0,3,10.0,lap_crossfade,2.0
bgc_parking_freesound_168846_1,parking,freesound_168846,1,15,32.0,lien_tuc,0.0
bgc_parking_freesound_177592_0,parking,freesound_177592,0,11,24.0,lien_tuc,0.0
bgc_parking_freesound_187075_0,parking,freesound_187075,0,9,20.0,lien_tuc,0.0
bgc_parking_freesound_209992_1,parking,freesound_209992,1,1,10.0,lap_crossfade,6.0
bgc_parking_freesound_209992_4,parking,freesound_209992,4,1,10.0,lap_crossfade,6.0
bgc_parking_freesound_46918_0,parking,freesound_46918,0,3,10.0,lap_crossfade,2.0
bgc_parking_freesound_94632_0,parking,freesound_94632,0,3,10.0,lap_crossfade,2.0
bgc_parking_freesound_94632_1,parking,freesound_94632,1,3,10.0,lap_crossfade,2.0
bgc_residential_freesound_101729_0,residential,freesound_101729,0,5,12.0,lien_tuc,0.0
bgc_residential_freesound_146714_0,residential,freesound_146714,0,2,10.0,lap_crossfade,4.0
bgc_residential_freesound_159761_0,residential,freesound_159761,0,9,20.0,lien_tuc,0.0
bgc_residential_freesound_167464_0,residential,freesound_167464,0,25,52.0,lien_tuc,0.0
bgc_residential_freesound_177621_0,residential,freesound_177621,0,3,10.0,lap_crossfade,2.0
bgc_residential_freesound_177726_0,residential,freesound_177726,0,11,24.0,lien_tuc,0.0
bgc_residential_freesound_177729_0,residential,freesound_177729,0,3,10.0,lap_crossfade,2.0
bgc_residential_freesound_177742_0,residential,freesound_177742,0,4,10.0,lien_tuc,0.0
bgc_residential_freesound_178686_0,residential,freesound_178686,0,6,14.0,lien_tuc,0.0
bgc_residential_freesound_184805_0,residential,freesound_184805,0,3,10.0,lap_crossfade,2.0
bgc_residential_freesound_195969_0,residential,freesound_195969,0,7,16.0,lien_tuc,0.0
bgc_residential_freesound_56385_0,residential,freesound_56385,0,3,10.0,lap_crossfade,2.0
bgc_residential_freesound_57320_0,residential,freesound_57320,0,4,10.0,lien_tuc,0.0
bgc_residential_freesound_63724_0,residential,freesound_63724,0,11,24.0,lien_tuc,0.0
