file_id,area_type,source_dataset,source_id,source_group_id,path_raw,duration,worst_class,worst_prob,verdict
bg_factory_urbansound8k_01467,factory,urbansound8k,103199-4-1-0.wav,freesound_103199,data/raw/urbansound8k/UrbanSound8K/audio/fold3/103199-4-1-0.wav,1.52,scream,0.0451,clean
bg_factory_urbansound8k_01468,factory,urbansound8k,103199-4-7-2.wav,freesound_103199,data/raw/urbansound8k/UrbanSound8K/audio/fold3/103199-4-7-2.wav,4.0,vehicle_crash,0.0296,clean
bg_factory_urbansound8k_01500,factory,urbansound8k,118278-4-0-0.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-0.wav,4.0,running_footsteps,0.0118,clean
bg_factory_urbansound8k_01501,factory,urbansound8k,118278-4-0-1.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-1.wav,4.0,running_footsteps,0.008,clean
bg_factory_urbansound8k_01502,factory,urbansound8k,118278-4-0-10.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-10.wav,4.0,siren,0.0091,clean
bg_factory_urbansound8k_01503,factory,urbansound8k,118278-4-0-11.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-11.wav,4.0,running_footsteps,0.0106,clean
bg_factory_urbansound8k_01504,factory,urbansound8k,118278-4-0-12.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-12.wav,4.0,siren,0.0077,clean
bg_factory_urbansound8k_01505,factory,urbansound8k,118278-4-0-13.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-13.wav,4.0,siren,0.005,clean
bg_factory_urbansound8k_01506,factory,urbansound8k,118278-4-0-2.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-2.wav,4.0,running_footsteps,0.0075,clean
bg_factory_urbansound8k_01507,factory,urbansound8k,118278-4-0-3.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-3.wav,4.0,running_footsteps,0.0065,clean
bg_factory_urbansound8k_01508,factory,urbansound8k,118278-4-0-4.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-4.wav,4.0,running_footsteps,0.0314,clean
bg_factory_urbansound8k_01509,factory,urbansound8k,118278-4-0-5.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-5.wav,4.0,running_footsteps,0.027,clean
bg_factory_urbansound8k_01510,factory,urbansound8k,118278-4-0-6.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-6.wav,4.0,siren,0.0123,clean
bg_factory_urbansound8k_01511,factory,urbansound8k,118278-4-0-7.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-7.wav,4.0,running_footsteps,0.0103,clean
bg_factory_urbansound8k_01512,factory,urbansound8k,118278-4-0-8.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-8.wav,4.0,running_footsteps,0.0103,clean
bg_factory_urbansound8k_01513,factory,urbansound8k,118278-4-0-9.wav,freesound_118278,data/raw/urbansound8k/UrbanSound8K/audio/fold10/118278-4-0-9.wav,4.0,siren,0.0079,clean
bg_factory_urbansound8k_01514,factory,urbansound8k,119809-7-0-0.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-0.wav,4.0,siren,0.0018,clean
bg_factory_urbansound8k_01515,factory,urbansound8k,119809-7-0-1.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-1.wav,4.0,siren,0.0054,clean
bg_factory_urbansound8k_01516,factory,urbansound8k,119809-7-0-2.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-2.wav,4.0,siren,0.0056,clean
bg_factory_urbansound8k_01517,factory,urbansound8k,119809-7-0-3.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-3.wav,4.0,siren,0.0041,clean
bg_factory_urbansound8k_01518,factory,urbansound8k,119809-7-0-4.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-4.wav,4.0,siren,0.0052,clean
bg_factory_urbansound8k_01519,factory,urbansound8k,119809-7-0-5.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-5.wav,4.0,siren,0.0026,clean
bg_factory_urbansound8k_01520,factory,urbansound8k,119809-7-0-6.wav,freesound_119809,data/raw/urbansound8k/UrbanSound8K/audio/fold9/119809-7-0-6.wav,4.0,running_footsteps,0.003,clean
bg_factory_urbansound8k_01536,factory,urbansound8k,130961-4-0-0.wav,freesound_130961,data/raw/urbansound8k/UrbanSound8K/audio/fold7/130961-4-0-0.wav,3.05,door_slam,0.0045,clean
bg_factory_urbansound8k_01537,factory,urbansound8k,132016-7-0-0.wav,freesound_132016,data/raw/urbansound8k/UrbanSound8K/audio/fold4/132016-7-0-0.wav,4.0,explosion,0.0029,clean
bg_factory_urbansound8k_01538,factory,urbansound8k,132016-7-0-1.wav,freesound_132016,data/raw/urbansound8k/UrbanSound8K/audio/fold4/132016-7-0-1.wav,4.0,explosion,0.0032,clean
bg_factory_urbansound8k_01539,factory,urbansound8k,132016-7-0-2.wav,freesound_132016,data/raw/urbansound8k/UrbanSound8K/audio/fold4/132016-7-0-2.wav,4.0,running_footsteps,0.0029,clean
bg_factory_urbansound8k_01540,factory,urbansound8k,132016-7-0-3.wav,freesound_132016,data/raw/urbansound8k/UrbanSound8K/audio/fold4/132016-7-0-3.wav,4.0,siren,0.003,clean
