file_id,class_id,path,dur,eff,lead,trail,rms_db,peak,loi
desed_alarm_bell_016586c4,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_016586c4.wav,0.2416,0.2416,0.0,0.0,-9.99,0.8381,
desed_alarm_bell_03c25915,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_03c25915.wav,0.3177,0.3177,0.0,0.0,-21.58,0.2661,
desed_alarm_bell_03ca7e85,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_03ca7e85.wav,0.3162,0.3162,0.0,0.0,-12.21,0.6143,
desed_alarm_bell_0576aaa3,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_0576aaa3.wav,2.02,2.02,0.0,0.0,-25.3,0.2632,
desed_alarm_bell_084220bd,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_084220bd.wav,1.38,1.38,0.0,0.0,-20.61,0.8913,
desed_alarm_bell_08817a4e,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_08817a4e.wav,0.5722,0.5722,0.0,0.0,-25.38,0.1694,
desed_alarm_bell_08dea298,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_08dea298.wav,0.2416,0.2416,0.0,0.0,-9.99,0.8381,
desed_alarm_bell_08e0991d,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_08e0991d.wav,0.5337,0.5337,0.0,0.0,-25.63,0.1723,
desed_alarm_bell_097d4455,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_097d4455.wav,1.478,1.478,0.0,0.0,-26.93,0.2771,
desed_alarm_bell_09b865ef,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_09b865ef.wav,1.4781,1.4781,0.0,0.0,-26.05,0.2956,
desed_alarm_bell_0f458a63,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_0f458a63.wav,0.2416,0.2416,0.0,0.0,-9.99,0.8381,
desed_alarm_bell_0feed5f4,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_0feed5f4.wav,0.5971,0.5971,0.0,0.0,-25.57,0.1625,
desed_alarm_bell_10ae73de,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_10ae73de.wav,0.5593,0.5593,0.0,0.0,-25.34,0.1568,
desed_alarm_bell_10af084e,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_10af084e.wav,0.3151,0.3151,0.0,0.0,-47.57,0.0128,
desed_alarm_bell_1421b4bb,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1421b4bb.wav,1.0077,1.0077,0.0,0.0,-26.23,0.147,
desed_alarm_bell_1508a031,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1508a031.wav,1.008,1.008,0.0,0.0,-26.16,0.1579,
desed_alarm_bell_155a401b,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_155a401b.wav,0.3112,0.3112,0.0,0.0,-7.2,0.857,
desed_alarm_bell_182ba4c4,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_182ba4c4.wav,0.3203,0.3203,0.0,0.0,-14.13,0.7001,
desed_alarm_bell_1931680c,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1931680c.wav,0.3112,0.3112,0.0,0.0,-7.2,0.857,
desed_alarm_bell_198a13ac,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_198a13ac.wav,0.3112,0.3112,0.0,0.0,-7.2,0.857,
desed_alarm_bell_1a188021,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1a188021.wav,0.5191,0.5191,0.0,0.0,-26.28,0.1145,
desed_alarm_bell_1b0d3a4d,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1b0d3a4d.wav,0.1194,0.1194,0.0,0.0,-22.37,0.2095,
desed_alarm_bell_1d312407,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_1d312407.wav,0.3112,0.3112,0.0,0.0,-7.2,0.857,
desed_alarm_bell_20191b46,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_20191b46.wav,0.2416,0.2416,0.0,0.0,-9.99,0.8381,
desed_alarm_bell_20245f39,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_20245f39.wav,0.4814,0.4814,0.0,0.0,-25.99,0.122,
desed_alarm_bell_207ac269,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_207ac269.wav,0.483,0.483,0.0,0.0,-26.0,0.129,
desed_alarm_bell_212036cc,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_212036cc.wav,0.4848,0.4848,0.0,0.0,-25.99,0.1422,
desed_alarm_bell_21bea9cc,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_21bea9cc.wav,0.738,0.738,0.0,0.0,-23.04,0.4776,
desed_alarm_bell_22000d5c,alarm_bell,data/banks/foreground/alarm_bell/desed_alarm_bell_22000d5c.wav,0.3112,0.3112,0.0,0.0,-7.2,0.857,
