file_id,class_id,source_dataset,onset,offset,duration_bank,provenance,path_bank
desed_alarm_bell_016586c4,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_016586c4.wav
desed_alarm_bell_03c25915,alarm_bell,desed,0.0,0.318,0.318,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_03c25915.wav
desed_alarm_bell_03ca7e85,alarm_bell,desed,0.0,0.316,0.316,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_03ca7e85.wav
desed_alarm_bell_0576aaa3,alarm_bell,desed,0.0,2.02,2.02,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_0576aaa3.wav
desed_alarm_bell_084220bd,alarm_bell,desed,0.0,1.38,1.38,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_084220bd.wav
desed_alarm_bell_08817a4e,alarm_bell,desed,0.0,0.572,0.572,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_08817a4e.wav
desed_alarm_bell_08dea298,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_08dea298.wav
desed_alarm_bell_08e0991d,alarm_bell,desed,0.0,0.534,0.534,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_08e0991d.wav
desed_alarm_bell_0f458a63,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_0f458a63.wav
desed_alarm_bell_0feed5f4,alarm_bell,desed,0.0,0.597,0.597,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_0feed5f4.wav
desed_alarm_bell_10ae73de,alarm_bell,desed,0.0,0.559,0.559,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_10ae73de.wav
desed_alarm_bell_1508a031,alarm_bell,desed,0.0,1.008,1.008,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_1508a031.wav
desed_alarm_bell_1b0d3a4d,alarm_bell,desed,0.0,0.119,0.119,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_1b0d3a4d.wav
desed_alarm_bell_20191b46,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_20191b46.wav
desed_alarm_bell_21bea9cc,alarm_bell,desed,0.0,0.738,0.738,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_21bea9cc.wav
desed_alarm_bell_248cb8a7,alarm_bell,desed,0.0,23.139,23.139,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_248cb8a7.wav
desed_alarm_bell_26315eee,alarm_bell,desed,0.0,0.565,0.565,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_26315eee.wav
desed_alarm_bell_36e46582,alarm_bell,desed,0.0,0.562,0.562,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_36e46582.wav
desed_alarm_bell_3747d982,alarm_bell,desed,0.0,0.61,0.61,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_3747d982.wav
desed_alarm_bell_37a1f4a3,alarm_bell,desed,0.0,0.572,0.572,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_37a1f4a3.wav
desed_alarm_bell_38ceec78,alarm_bell,desed,0.0,0.235,0.235,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_38ceec78.wav
desed_alarm_bell_39aad88b,alarm_bell,desed,0.0,0.555,0.555,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_39aad88b.wav
desed_alarm_bell_3ab4ee0b,alarm_bell,desed,0.0,0.235,0.235,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_3ab4ee0b.wav
desed_alarm_bell_3d9c81a5,alarm_bell,desed,0.0,0.538,0.538,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_3d9c81a5.wav
desed_alarm_bell_4028a3da,alarm_bell,desed,0.0,3.614,3.614,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_4028a3da.wav
desed_alarm_bell_4048080c,alarm_bell,desed,0.0,0.104,0.104,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_4048080c.wav
desed_alarm_bell_42a59b74,alarm_bell,desed,0.0,0.57,0.57,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_42a59b74.wav
desed_alarm_bell_42ad3bf9,alarm_bell,desed,0.0,0.229,0.229,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_42ad3bf9.wav
desed_alarm_bell_47161f23,alarm_bell,desed,0.0,0.534,0.534,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_47161f23.wav
desed_alarm_bell_475854b8,alarm_bell,desed,0.0,0.492,0.492,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_475854b8.wav
desed_alarm_bell_49d0ae15,alarm_bell,desed,0.0,0.237,0.237,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_49d0ae15.wav
desed_alarm_bell_4a8f8fe2,alarm_bell,desed,0.0,0.59,0.59,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_4a8f8fe2.wav
desed_alarm_bell_4dcf1840,alarm_bell,desed,0.0,1.012,1.012,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_4dcf1840.wav
desed_alarm_bell_5620a7d9,alarm_bell,desed,0.0,1.001,1.001,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_5620a7d9.wav
desed_alarm_bell_56a3938e,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_56a3938e.wav
desed_alarm_bell_589d76f9,alarm_bell,desed,0.0,2.655,2.655,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_589d76f9.wav
desed_alarm_bell_58e96ac2,alarm_bell,desed,0.0,1.38,1.38,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_58e96ac2.wav
desed_alarm_bell_5b9ce681,alarm_bell,desed,0.0,1.698,1.698,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_5b9ce681.wav
desed_alarm_bell_6157608c,alarm_bell,desed,0.0,0.495,0.495,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_6157608c.wav
desed_alarm_bell_6261dc0a,alarm_bell,desed,0.0,0.672,0.672,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_6261dc0a.wav
desed_alarm_bell_630dc66f,alarm_bell,desed,0.0,0.316,0.316,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_630dc66f.wav
desed_alarm_bell_66037bb2,alarm_bell,desed,0.0,1.016,1.016,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_66037bb2.wav
desed_alarm_bell_66c738d5,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_66c738d5.wav
desed_alarm_bell_6b98ee0b,alarm_bell,desed,0.0,1.016,1.016,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_6b98ee0b.wav
desed_alarm_bell_701b77fd,alarm_bell,desed,0.0,0.328,0.328,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_701b77fd.wav
desed_alarm_bell_744e48bf,alarm_bell,desed,0.0,1.007,1.007,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_744e48bf.wav
desed_alarm_bell_74935f8d,alarm_bell,desed,0.0,1.449,1.449,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_74935f8d.wav
desed_alarm_bell_75735c8c,alarm_bell,desed,0.0,0.242,0.242,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_75735c8c.wav
desed_alarm_bell_7bbe1dda,alarm_bell,desed,0.0,0.236,0.236,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_7bbe1dda.wav
desed_alarm_bell_7e5012d0,alarm_bell,desed,0.0,1.005,1.005,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_7e5012d0.wav
desed_alarm_bell_7ece994a,alarm_bell,desed,0.0,0.317,0.317,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_7ece994a.wav
desed_alarm_bell_7f3fcf5e,alarm_bell,desed,0.0,1.379,1.379,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_7f3fcf5e.wav
desed_alarm_bell_8071cb1b,alarm_bell,desed,0.0,0.316,0.316,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_8071cb1b.wav
desed_alarm_bell_812da415,alarm_bell,desed,0.0,0.992,0.992,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_812da415.wav
desed_alarm_bell_8c2f0ef9,alarm_bell,desed,0.0,1.057,1.057,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_8c2f0ef9.wav
desed_alarm_bell_91467225,alarm_bell,desed,0.0,0.516,0.516,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_91467225.wav
desed_alarm_bell_934d5d28,alarm_bell,desed,0.0,0.315,0.315,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_934d5d28.wav
desed_alarm_bell_9798d0e0,alarm_bell,desed,0.0,1.059,1.059,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_9798d0e0.wav
desed_alarm_bell_984c7d8f,alarm_bell,desed,0.0,0.572,0.572,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_984c7d8f.wav
desed_alarm_bell_99539dab,alarm_bell,desed,0.0,0.274,0.274,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_99539dab.wav
desed_alarm_bell_9ce1c5d8,alarm_bell,desed,0.0,2.015,2.015,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_9ce1c5d8.wav
desed_alarm_bell_9e2f9d5e,alarm_bell,desed,0.0,0.605,0.605,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_9e2f9d5e.wav
desed_alarm_bell_9fabdd47,alarm_bell,desed,0.0,0.317,0.317,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_9fabdd47.wav
desed_alarm_bell_a00f28b7,alarm_bell,desed,0.0,0.318,0.318,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_a00f28b7.wav
desed_alarm_bell_a2084b19,alarm_bell,desed,0.0,0.568,0.568,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_a2084b19.wav
desed_alarm_bell_a8946f3c,alarm_bell,desed,0.0,0.315,0.315,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_a8946f3c.wav
desed_alarm_bell_aa831035,alarm_bell,desed,0.0,0.31,0.31,auto_accept,data/banks/foreground/alarm_bell/desed_alarm_bell_aa831035.wav
