file_id,path_raw,source_dataset,source_id,source_group_id,claimed_class,label_type_orig,orig_split,orig_onset,orig_offset,duration,sample_rate_orig,channels,license,attribution,redistributable,download_date,checksum_sha256
desed_alarm_bell_016586c4,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/255193_7.wav,desed_soundbank,train/255193_7,freesound_255193,alarm_bell,isolated_event,train,0.0,0.242,0.242,44100,1,CC-BY,michael_kur95 (freesound:255193),yes,2026-09-14,016586c49dee1486577d68a9904b451cc7b464b964606947f2dccce3c4c102e6
desed_alarm_bell_019d4688,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/79638.wav,desed_soundbank,eval/79638,freesound_79638,alarm_bell,isolated_event,eval,0.0,2.487,2.487,44100,1,CC-Sampling+,tymaue (freesound:79638),labels_only,2026-09-14,019d4688b0558578411d061aa6da9a32af92e594eaba748ef9853c14d966cb31
desed_alarm_bell_03c25915,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/382236_4.wav,desed_soundbank,train/382236_4,freesound_382236,alarm_bell,isolated_event,train,0.0,0.318,0.318,44100,1,CC-BY,sforsman (freesound:382236),yes,2026-09-14,03c25915f1ee7224322c82673c284379a468aa43cdaef5a8e1de7c9dfc251518
desed_alarm_bell_03ca7e85,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/418898_6.wav,desed_soundbank,train/418898_6,freesound_418898,alarm_bell,isolated_event,train,0.0,0.316,0.316,44100,1,CC0,Lynx_5969 (freesound:418898),yes,2026-09-14,03ca7e853749dfff68f77293c40d0428a4e66e75453969a10f800beeea7bf8e5
desed_alarm_bell_044b6f06,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/34853_2.wav,desed_soundbank,train/34853_2,freesound_34853,alarm_bell,isolated_event,train,0.0,0.353,0.353,44100,1,CC-Sampling+,jackstrebor (freesound:34853),labels_only,2026-09-14,044b6f06b89383a3b432151cff37b460d1ab596628fa286e9e4b2cea856eb7b0
desed_alarm_bell_0576aaa3,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/424946_1.wav,desed_soundbank,train/424946_1,freesound_424946,alarm_bell,isolated_event,train,0.0,4.189,4.189,44100,1,CC0,blukotek (freesound:424946),yes,2026-09-14,0576aaa30af95c25609e60cd13b7e9fbd1513f4f89a868a37af6a120e5d15c71
desed_alarm_bell_084220bd,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/370919.wav,desed_soundbank,train/370919,freesound_370919,alarm_bell,isolated_event,train,0.0,4.190,4.19,44100,1,CC-BY,sjturia (freesound:370919),yes,2026-09-14,084220bd8578f5a030f9ebfeb17bc46fdc4829e735c0c4591e75b4ac649ca594
desed_alarm_bell_08817a4e,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/189332_3.wav,desed_soundbank,train/189332_3,freesound_189332,alarm_bell,isolated_event,train,0.0,0.572,0.572,44100,1,CC0,sangtao (freesound:189332),yes,2026-09-14,08817a4e14f5c4f08a428ad34c67a19596a2e09df59862c1f96e19e0b65030f0
desed_alarm_bell_08dea298,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/255193_6.wav,desed_soundbank,train/255193_6,freesound_255193,alarm_bell,isolated_event,train,0.0,0.242,0.242,44100,1,CC-BY,michael_kur95 (freesound:255193),yes,2026-09-14,08dea2987d1d991ea482a2dbd98b297d41a4719330799425f8188b8a77f0c2f6
desed_alarm_bell_08e0991d,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_6.wav,desed_soundbank,eval/329896_6,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.534,0.534,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,08e0991d46d9f31319d1e9c01ba41a04311ce99c8336103759754764fc5d760f
