priority,file_id,class_id,p_target,p_confusable,top_confusable,onset,offset,path_norm
high,fsd50k_alarm_bell_f6333590,alarm_bell,0.3632,0.4706,siren,0.27,3.89,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_f6333590.wav
high,fsd50k_alarm_bell_3a5a8661,alarm_bell,0.2471,0.4856,siren,0.0,12.527,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_3a5a8661.wav
high,fsd50k_alarm_bell_80963bba,alarm_bell,0.2233,0.3631,siren,0.0,1.005,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_80963bba.wav
high,desed_alarm_bell_bab1f161,alarm_bell,0.1885,0.1986,siren,0.0,0.313,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_bab1f161.wav
high,desed_alarm_bell_b865d300,alarm_bell,0.1873,0.2071,siren,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_b865d300.wav
high,desed_alarm_bell_42f68488,alarm_bell,0.1838,0.2207,siren,0.0,0.313,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_42f68488.wav
high,desed_alarm_bell_b92ce32e,alarm_bell,0.1809,0.186,siren,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_b92ce32e.wav
high,desed_alarm_bell_9ca1a188,alarm_bell,0.1798,0.2523,siren,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9ca1a188.wav
high,desed_alarm_bell_b8915b16,alarm_bell,0.1753,0.332,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_b8915b16.wav
high,desed_alarm_bell_22000d5c,alarm_bell,0.1752,0.3322,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_22000d5c.wav
