rir_id,space_type,source,rt60_sec,duration_sec,path_bank
rir_medium_room_RVB2014_type1_rir_largeroom1_far_angla_0001,medium_room,openslr28_real,0.79,0.868,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom1_far_angla_0001.wav
rir_medium_room_RVB2014_type1_rir_largeroom1_far_anglb_0002,medium_room,openslr28_real,0.793,0.868,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom1_far_anglb_0002.wav
rir_medium_room_RVB2014_type1_rir_largeroom1_near_angla_0003,medium_room,openslr28_real,0.803,0.875,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom1_near_angla_0003.wav
rir_medium_room_RVB2014_type1_rir_largeroom1_near_anglb_0004,medium_room,openslr28_real,0.815,0.867,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom1_near_anglb_0004.wav
rir_medium_room_RVB2014_type1_rir_largeroom2_far_angla_0005,medium_room,openslr28_real,1.02,0.954,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom2_far_angla_0005.wav
rir_medium_room_RVB2014_type1_rir_largeroom2_far_anglb_0006,medium_room,openslr28_real,1.026,0.954,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom2_far_anglb_0006.wav
rir_medium_room_RVB2014_type1_rir_largeroom2_near_angla_0007,medium_room,openslr28_real,0.698,0.959,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom2_near_angla_0007.wav
rir_medium_room_RVB2014_type1_rir_largeroom2_near_anglb_0008,medium_room,openslr28_real,0.688,0.959,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_largeroom2_near_anglb_0008.wav
rir_medium_room_RVB2014_type1_rir_mediumroom1_far_angla_0009,medium_room,openslr28_real,0.552,0.863,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom1_far_angla_0009.wav
rir_medium_room_RVB2014_type1_rir_mediumroom1_far_anglb_0010,medium_room,openslr28_real,0.551,0.864,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom1_far_anglb_0010.wav
rir_medium_room_RVB2014_type1_rir_mediumroom1_near_angla_0011,medium_room,openslr28_real,0.58,0.867,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom1_near_angla_0011.wav
