file_id,class_id,onset,offset,path_norm,verdict,note,origin
desed_alarm_bell_016586c4,alarm_bell,0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_016586c4.wav,ok,,sample
desed_alarm_bell_097d4455,alarm_bell,0.269,1.647,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_097d4455.wav,,,queue
desed_alarm_bell_09b865ef,alarm_bell,0.589,1.967,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_09b865ef.wav,,,queue
desed_alarm_bell_10af084e,alarm_bell,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_10af084e.wav,,,queue
desed_alarm_bell_1421b4bb,alarm_bell,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1421b4bb.wav,,,queue
desed_alarm_bell_155a401b,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_155a401b.wav,,,queue
desed_alarm_bell_182ba4c4,alarm_bell,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_182ba4c4.wav,,,queue
desed_alarm_bell_1931680c,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1931680c.wav,,,queue
desed_alarm_bell_198a13ac,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_198a13ac.wav,,,queue
desed_alarm_bell_1a188021,alarm_bell,0.0,0.519,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1a188021.wav,,,queue
desed_alarm_bell_1d312407,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1d312407.wav,,,queue
desed_alarm_bell_20245f39,alarm_bell,0.0,0.481,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_20245f39.wav,,,queue
desed_alarm_bell_207ac269,alarm_bell,0.0,0.483,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_207ac269.wav,,,queue
desed_alarm_bell_212036cc,alarm_bell,0.0,0.485,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_212036cc.wav,,,queue
desed_alarm_bell_22000d5c,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_22000d5c.wav,,,queue
desed_alarm_bell_248cb8a7,alarm_bell,0,23.089,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_248cb8a7.wav,ok,,sample
desed_alarm_bell_279220b2,alarm_bell,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_279220b2.wav,,,queue
desed_alarm_bell_2888c09d,alarm_bell,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2888c09d.wav,,,queue
desed_alarm_bell_2c424415,alarm_bell,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2c424415.wav,,,queue
desed_alarm_bell_2f675ca9,alarm_bell,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2f675ca9.wav,,,queue
