file_id,class_id,p_target,p_confusable,top_confusable,decision,priority,onset,offset,path_norm
desed_alarm_bell_016586c4,alarm_bell,0.6952,0.0354,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_016586c4.wav
desed_alarm_bell_03c25915,alarm_bell,0.7494,0.0751,siren,auto_accept,,0.0,0.318,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_03c25915.wav
desed_alarm_bell_03ca7e85,alarm_bell,0.9098,0.0328,siren,auto_accept,,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_03ca7e85.wav
desed_alarm_bell_0576aaa3,alarm_bell,0.6089,0.0004,siren,auto_accept,,0.0,1.97,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_0576aaa3.wav
desed_alarm_bell_084220bd,alarm_bell,0.5257,0.0021,siren,auto_accept,,0.0,1.33,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_084220bd.wav
desed_alarm_bell_08817a4e,alarm_bell,0.5999,0.0003,siren,auto_accept,,0.0,0.572,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_08817a4e.wav
desed_alarm_bell_08dea298,alarm_bell,0.6953,0.0356,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_08dea298.wav
desed_alarm_bell_08e0991d,alarm_bell,0.8686,0.0001,siren,auto_accept,,0.0,0.534,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_08e0991d.wav
desed_alarm_bell_097d4455,alarm_bell,0.1218,0.0002,siren,review,normal,0.269,1.647,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_097d4455.wav
desed_alarm_bell_09b865ef,alarm_bell,0.2692,0.0018,siren,review,normal,0.589,1.967,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_09b865ef.wav
desed_alarm_bell_0f458a63,alarm_bell,0.6949,0.0351,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_0f458a63.wav
desed_alarm_bell_0feed5f4,alarm_bell,0.5821,0.0003,siren,auto_accept,,0.0,0.597,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_0feed5f4.wav
desed_alarm_bell_10ae73de,alarm_bell,0.8442,0.0001,siren,auto_accept,,0.0,0.559,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_10ae73de.wav
desed_alarm_bell_10af084e,alarm_bell,0.1436,0.0047,siren,review,normal,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_10af084e.wav
desed_alarm_bell_1421b4bb,alarm_bell,0.2989,0.0035,siren,review,normal,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1421b4bb.wav
desed_alarm_bell_1508a031,alarm_bell,0.3507,0.0016,siren,auto_accept,,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1508a031.wav
desed_alarm_bell_155a401b,alarm_bell,0.1751,0.3321,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_155a401b.wav
desed_alarm_bell_182ba4c4,alarm_bell,0.1415,0.0373,siren,review,normal,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_182ba4c4.wav
desed_alarm_bell_1931680c,alarm_bell,0.1738,0.3326,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1931680c.wav
desed_alarm_bell_198a13ac,alarm_bell,0.1691,0.3346,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_198a13ac.wav
desed_alarm_bell_1a188021,alarm_bell,0.2969,0.0016,siren,review,normal,0.0,0.519,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1a188021.wav
desed_alarm_bell_1b0d3a4d,alarm_bell,0.3905,0.0018,siren,auto_accept,,0.0,0.119,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1b0d3a4d.wav
desed_alarm_bell_1d312407,alarm_bell,0.1719,0.3335,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1d312407.wav
desed_alarm_bell_20191b46,alarm_bell,0.6946,0.035,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_20191b46.wav
desed_alarm_bell_20245f39,alarm_bell,0.201,0.0012,siren,review,normal,0.0,0.481,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_20245f39.wav
