file_id,class_id,source_dataset,source_group_id,merged_group_id,split
desed_alarm_bell_016586c4,alarm_bell,desed_soundbank,freesound_255193,freesound_255193,foreground_bank_train
desed_alarm_bell_03c25915,alarm_bell,desed_soundbank,freesound_382236,freesound_382236,foreground_bank_train
desed_alarm_bell_03ca7e85,alarm_bell,desed_soundbank,freesound_418898,freesound_418898,foreground_bank_train
desed_alarm_bell_0576aaa3,alarm_bell,desed_soundbank,freesound_424946,freesound_424946,foreground_bank_train
desed_alarm_bell_084220bd,alarm_bell,desed_soundbank,freesound_370919,freesound_370919,foreground_bank_train
desed_alarm_bell_08817a4e,alarm_bell,desed_soundbank,freesound_189332,freesound_189332,foreground_bank_train
desed_alarm_bell_08dea298,alarm_bell,desed_soundbank,freesound_255193,freesound_255193,foreground_bank_train
desed_alarm_bell_08e0991d,alarm_bell,desed_soundbank,freesound_329896,freesound_329896,foreground_bank_train
desed_alarm_bell_097d4455,alarm_bell,desed_soundbank,freesound_196376,freesound_196376,foreground_bank_train
desed_alarm_bell_09b865ef,alarm_bell,desed_soundbank,freesound_21986,freesound_21986,foreground_bank_train
desed_alarm_bell_0f458a63,alarm_bell,desed_soundbank,freesound_255193,freesound_255193,foreground_bank_train
desed_alarm_bell_0feed5f4,alarm_bell,desed_soundbank,freesound_189332,freesound_189332,foreground_bank_train
desed_alarm_bell_10ae73de,alarm_bell,desed_soundbank,freesound_329896,freesound_329896,foreground_bank_train
desed_alarm_bell_10af084e,alarm_bell,desed_soundbank,freesound_196838,freesound_196838,foreground_bank_train
desed_alarm_bell_1421b4bb,alarm_bell,desed_soundbank,freesound_233645,freesound_233645,foreground_bank_train
desed_alarm_bell_1508a031,alarm_bell,desed_soundbank,freesound_233645,freesound_233645,foreground_bank_train
desed_alarm_bell_155a401b,alarm_bell,desed_soundbank,freesound_268823,freesound_268823,foreground_bank_train
desed_alarm_bell_182ba4c4,alarm_bell,desed_soundbank,freesound_72558,freesound_72558,foreground_bank_train
